,NUP,NDO,NST,NSEA,AST,BUP,BSEA,PP,MSS,chi
206,0.07705508538563556,-0.09589355613895996,-0.1342014785476045,-0.04115474491456809,2.405644606177979,2.703764614217922,1.1758255230715149,2.9706380848555423,0.3193458544234763,109.59906538449744
207,0.1095777454781585,-0.1215575479768089,-0.07578242359651084,-0.06020682332343876,1.8172338769026184,3.8737530005225462,2.738050549056831,4.430255409213176,0.4912068325941741,121.2568924536776
208,0.10052589988311,-0.1245890657918091,-0.1441053934414931,-0.05580850080182554,2.5775093062152408,3.6300769285913783,2.486648174852757,3.8171585105203416,0.4248437186488027,115.09024197039402
210,0.1198002545701215,-0.09747546097308092,-0.1168346317799793,-0.08264053566391026,2.031572695217204,3.929406753035536,3.210998831479634,3.679490961329763,0.4513572145893789,114.02898773913763
211,0.07361873135246824,-0.09435061389257056,-0.1256677590645023,-0.03729534384226461,2.330982343371552,2.8174811068213166,1.34509755105353,3.961285699456047,0.4102854909467163,122.33937224135698
212,0.1274660458604766,-0.1149493587808078,-0.14413467552433099,-0.06783973098591396,2.502573815539707,4.330908797073817,2.8480409446812525,3.2669717425246816,0.3948590711586487,110.90836760277777
213,0.1016694819029354,-0.1220724226275489,-0.11821309296481401,-0.07177820161057714,2.284832761823163,2.6798691285179763,2.442747887972279,3.757179016624089,0.4526353023634913,116.06983282396887
214,0.1414774384263988,-0.1006371182462203,-0.1359223444864465,-0.08808568120496132,2.2954472149477643,4.231570507634885,3.189983673085587,3.625682197961837,0.45228935194813796,112.8118228810612
216,0.1186713602016134,-0.1125617713977643,-0.08533520787341478,-0.07626545242842603,1.6790188141516682,3.7999477943529314,2.9977964607333965,2.443108802827964,0.325482218085295,114.46700705867462
218,0.14183443471281898,-0.1083767336287379,-0.1179871620314748,-0.07418425554523497,2.181017595586855,4.710204424166519,2.9522118483306063,2.8727972309539487,0.3522381320103868,107.96375174349552
220,0.1142667159228632,-0.09818979684140676,-0.1195997676757644,-0.07507165192742166,2.288982635241021,3.581841314256873,2.487663818571002,3.980182802526744,0.4823576923922043,111.69357571187193
221,0.1069147462299069,-0.1213526295451955,-0.07430096580198305,-0.06960093169461802,1.576536090283112,3.364057081060764,2.689010407601288,2.8802668876948654,0.378107185125253,113.2143871038285
222,0.08978159749957232,-0.08815032709875892,-0.1023244580932212,-0.05407274077981961,2.082195770323497,3.810296503940224,2.599789795238328,3.3515633100956546,0.3397900329076805,114.6537707191744
225,0.1017506630966815,-0.09480946397171494,-0.1037304908966107,-0.06136467631230168,1.9768239626927635,3.4241940644975983,2.23018851972893,3.921315593568185,0.4635876578971181,114.73802280449922
226,0.1159568197126825,-0.130637406259632,-0.1081480846090091,-0.07313178241843478,1.928925281182164,3.3294287305564265,2.488993408906524,2.5710441056697197,0.3531526740973552,108.54782027957474
227,0.1007700442082152,-0.098009255072858,-0.1024031607912691,-0.05407268643988238,1.831001847125694,3.6173993181604014,2.074037358851088,2.679482062838356,0.3088986654131436,109.71997417691506
228,0.1451874547572206,-0.1208368428195243,-0.1489537893790454,-0.08856496001292301,2.594111898168685,4.4506297259502565,3.40415026795133,3.1350520958364463,0.4020871877180715,111.30269364414349
234,0.08921083175331948,-0.08950406582373263,-0.1198741782582583,-0.04762013832844823,2.1932302991687207,3.72011414286606,2.1864077480825634,3.477746876095205,0.3573017702409364,110.77001237528015
236,0.09520513638804316,-0.09786403801157577,-0.08386128698747047,-0.04460870742097649,1.84127615064219,3.463288588120163,1.6611461036347834,3.294507526979322,0.3669547526472214,122.01060021499607
239,0.07476206227108673,-0.1011603359402449,-0.12803690178424199,-0.05085876527164959,2.098903082607531,3.102579669943871,2.3837493912661767,3.2836101657614063,0.3597241531036764,116.9788680095007
240,0.1048818708519221,-0.0942274036184455,-0.1484034676068992,-0.06446250493231702,2.609475102867831,3.637644877110831,2.311084361695735,3.929601555426259,0.4461908624989083,111.06841639354882
241,0.1202517378736963,-0.1075962530668069,-0.131224613822801,-0.08120254430268004,2.4727026588283865,3.622391176836061,2.8132212154569904,4.560298529144188,0.551643521986854,115.36091149678921
245,0.0972289384276536,-0.09902590725057643,-0.0909338022537286,-0.050256082751698,1.85889324202338,3.8983829998641912,2.2242468589037547,4.2649867278116735,0.4473707581957843,110.00810392007291
246,0.1174869532121655,-0.1088091249008053,-0.1342128783150806,-0.07189965658076652,2.248160995922975,3.806157800865895,2.593669843080431,2.976523620481762,0.391229707486426,110.59547246138952
247,0.1006396055334755,-0.1123935612338347,-0.1456214583471281,-0.04184380328652789,2.5590152487651143,3.982112019971154,1.9030173464418632,2.213160316621256,0.2164036433576018,120.17613389347406
248,0.1028356756818088,-0.1253314545638931,-0.09427714813501506,-0.06775004659238514,1.801448444842656,2.995221224492974,2.397691367568247,3.4371169385831704,0.4215854430924594,110.66915536683226
250,0.09276689688049276,-0.1039297663673513,-0.1372274171530043,-0.057115939939411726,2.413482667642627,3.099024866435397,2.092086453067909,3.66278431129646,0.4190925601179621,107.89415143619728
252,0.07536002681946075,-0.1097024954976904,-0.09396979116385416,-0.050940672719087116,1.923782904843621,2.94485037265685,2.2933874316688065,4.374047126449119,0.47384824820229604,115.256628024252
255,0.0817053837055171,-0.1091031729052648,-0.09121011197392108,-0.044883320969832996,1.867984792881575,3.022978543284237,1.682390074796826,2.159669062580694,0.23287157609461198,108.70767530086735
