,NUP,NDO,NST,NSEA,AST,BUP,BSEA,PP,chi
129,0.08847014504937906,-0.09035050987502533,-0.1153216262951292,-0.05441351291429475,2.322739848918934,3.119047537220048,1.719079805818357,0.06643443275468489,114.78337775761688
130,0.07322739322718401,-0.1037722132830511,-0.08990872426671465,-0.05043270823699162,1.9416564649686432,2.3746109222768133,1.840899021768336,0.06906712979069794,111.10739773550759
131,0.09919463321506974,-0.09324426883724472,-0.1317812694754453,-0.06530799421497624,2.210269525019408,3.606723730854358,2.6406029180466057,0.07308291714136167,110.26685695239374
132,0.1166470325519851,-0.09030927533682333,-0.1033224304802711,-0.0648485204656522,1.906619144291021,4.3036249680993865,2.571807977930774,0.07026048650168468,112.39672236296572
133,0.1313987236382432,-0.1048928611425487,-0.1036351151367913,-0.08542684790592776,2.007357832396517,4.068045547177968,3.3506902737705646,0.08991612702262602,116.03419458743295
134,0.08368588328454052,-0.1102361227582937,-0.1310134350631795,-0.04922166048465935,2.397497608485826,3.017075825397073,2.187970614816659,0.06481846504920245,109.43695399346521
137,0.1303305112292207,-0.1078571693378036,-0.1424667995084997,-0.0814080933194063,2.519164240659211,3.8102127922478735,2.6858522026582228,0.08627581240005977,108.93106845124669
139,0.1080113878066103,-0.0887744666704579,-0.08951558818934605,-0.0582034483702924,1.7251471235064295,4.378296814055099,2.9415685318216336,0.06389290608895101,115.71359065539734
140,0.08382447614112354,-0.1039702579356603,-0.1265481861697014,-0.05771488352016856,2.248987878133679,2.9045245076387816,2.123875382324919,0.06934876594568598,114.04245996797579
142,0.1102758247143523,-0.1031236558380429,-0.1360237016463448,-0.073100375807087,2.436560045786285,3.80502729795548,2.8093908630808127,0.07763622240500373,108.61452464620268
143,0.07994528961886889,-0.09494553111765937,-0.09187440463280484,-0.04124811252700959,1.8527723105173992,3.189786321635473,1.783495010001417,0.061111640459926536,111.20345702232945
144,0.09831680582377747,-0.09788428169905462,-0.1361596951766969,-0.05605471276824615,2.459155153799086,4.04606392590338,2.513443146008564,0.06599661046823853,109.68992487257444
146,0.0906131738867114,-0.0936109715112025,-0.1157707330857412,-0.054206677993193085,2.170913266718268,3.2669344744916438,1.875496596584157,0.07073897962641817,108.69789062442932
147,0.1221153444654642,-0.0978876361846667,-0.1057240430836819,-0.06528109445409794,2.061340317444516,4.63700599167458,2.9267572413917287,0.07423395827963702,110.12197879133385
148,0.07461693532636687,-0.08474687245458247,-0.1328128244065805,-0.03650923318178383,2.339869914349296,3.4003486850881024,1.6279867178410832,0.054042048228206435,113.5221549026746
